epoch,step,global_step,step_time_s,loss,cls_loss,lm_loss,consistency
4,399,26694,15.846,1.029996,0.330615,2.29064,0.243772
4,599,26894,15.226,0.878719,0.20036,2.166401,0.568772
4,799,27094,15.171,0.862342,0.225862,2.067079,0.32713
4,0,26295,669.314,1.188965,0.205029,3.179054,0.604385
4,0,26295,614.499,1.152842,0.21597,3.076899,0.276055
4,199,26494,5.306,1.143343,0.707602,1.450162,0.013846
4,399,26694,3.781,0.877165,0.518878,1.190667,0.021734
4,599,26894,3.272,0.52031,0.205997,1.039819,0.047358
4,799,27094,3.018,0.701806,0.378522,1.073646,0.0238
4,999,27294,2.865,0.467376,0.200812,0.883569,0.029868
4,1199,27494,2.764,0.767941,0.428079,1.132468,0.002428
4,1399,27694,2.691,0.717574,0.40752,1.030288,0.019354
4,1599,27894,2.638,0.717135,0.42726,0.963036,0.019282
4,1799,28094,2.6,0.834473,0.572632,0.872459,0.002073
4,1999,28294,2.569,0.479563,0.202707,0.922461,0.002348
4,2199,28494,2.545,0.431211,0.199426,0.772412,0.00122
4,2399,28694,2.524,0.702125,0.427191,0.91135,0.030579
4,2599,28894,2.507,0.466672,0.225082,0.797603,0.04617
4,2799,29094,2.492,0.933314,0.675433,0.845472,0.084787
4,2999,29294,2.479,0.462031,0.205392,0.849883,0.033465
4,3199,29494,2.468,0.751562,0.481049,0.90155,0.000956
4,3399,29694,2.458,0.412103,0.206825,0.683208,0.006302
4,3599,29894,2.449,0.457301,0.199524,0.857811,0.008685
4,3799,30094,2.441,0.679746,0.391287,0.961087,0.002642
4,3999,30294,2.433,0.455954,0.211005,0.812561,0.023625
4,4199,30494,2.427,0.850388,0.608795,0.805035,0.001653
4,4399,30694,2.421,0.432607,0.202057,0.764572,0.023564
4,4599,30894,2.416,0.463824,0.209964,0.845957,0.00146
4,4799,31094,2.411,0.461012,0.216815,0.806649,0.044046
4,4999,31294,2.406,0.556823,0.318076,0.795335,0.002945
4,5199,31494,2.402,0.817771,0.565274,0.840796,0.005157
4,5399,31694,2.398,0.431847,0.210074,0.738261,0.005905
4,5599,31894,2.395,0.535772,0.289429,0.819748,0.008385
4,5799,32094,2.391,0.473451,0.259689,0.712331,0.001249
4,5999,32294,2.388,0.425667,0.226331,0.663949,0.003032
4,6199,32494,2.385,0.519689,0.276089,0.803255,0.052461
4,6399,32694,2.383,0.411719,0.208533,0.677043,0.001479
4,6599,32894,2.38,0.388767,0.212851,0.585241,0.00688
4,6799,33094,2.378,0.451359,0.232578,0.728221,0.006296
4,6999,33294,2.376,0.658933,0.379605,0.928904,0.013136
4,7199,33494,2.373,0.496093,0.269943,0.752843,0.005942
4,7399,33694,2.371,0.500592,0.206375,0.97928,0.008649
4,7599,33894,2.37,0.603478,0.385794,0.725466,0.000884
4,7799,34094,2.368,0.855077,0.59332,0.869717,0.016841
4,7999,34294,2.366,0.456053,0.215723,0.800129,0.005839
4,8199,34494,2.364,0.401194,0.202292,0.659469,0.021221
4,8399,34694,2.363,0.565406,0.327155,0.792791,0.008279
4,8599,34894,2.361,0.469243,0.213702,0.849577,0.013357
4,8764,35059,2.36,0.429779,0.215736,0.712948,0.003166
5,0,35060,1417.763,0.462927,0.203284,0.776858,0.01381
5,199,35259,9.369,0.646834,0.391568,0.765451,0.002316
5,399,35459,5.834,0.667615,0.369839,0.891948,0.009189
5,599,35659,4.655,0.585282,0.271246,0.932163,0.066301
5,799,35859,4.066,0.500037,0.228601,0.809766,0.030275
5,999,36059,3.713,0.623081,0.368518,0.761675,0.013418
5,1199,36259,3.478,0.485909,0.202338,0.847918,0.018638
5,1399,36459,3.309,0.55616,0.329286,0.678266,0.015694
5,1599,36659,3.183,0.483298,0.213774,0.807604,0.006457
5,1799,36859,3.085,0.54698,0.23811,0.925865,0.004951
5,1999,37059,3.006,0.568897,0.303186,0.796826,0.002044
5,2199,37259,2.942,0.66298,0.437695,0.675571,0.001885
5,2399,37459,2.888,0.462554,0.201596,0.780245,0.017536
5,2599,37659,2.843,0.462618,0.202283,0.780623,0.002548
5,2799,37859,2.804,0.981419,0.718811,0.786686,0.007587
5,2999,38059,2.77,0.49434,0.202069,0.876496,0.00211
