09:17:15 | Device: cuda
09:17:15 | GPU   : NVIDIA RTX A5000
09:17:15 | VRAM  : 25.8 GB
09:17:15 | Loading data ...
09:19:14 | Building model ...
09:19:23 | Optimizer groups: LoRA=392 tensors, custom=20 tensors
09:19:23 | ======================================================================
09:19:23 |   batch_size=8  grad_accum=4  eff_batch=32
09:19:23 |   lm_seq_len=192  lm_loss_weight=0.3
09:19:23 |   epochs_cls=3  epochs_joint=2
09:19:23 |   lr=5e-05  lora_rank=64
09:19:23 |   steps/epoch=18112  total_steps=90560
09:19:23 |   logs → ./runs/intern_exp2\logs
09:19:23 | ======================================================================
09:19:23 |   Ep    Stage   TrLoss   TrAcc   VaLoss   VaAcc   VaAUC  Best
09:19:23 | ======================================================================
11:28:33 | Ep 1 | Step 17000/18112 | Loss 0.5031 | Cls 0.5031
11:29:44 | Ep 1 | Step 17200/18112 | Loss 0.4348 | Cls 0.4348
11:30:55 | Ep 1 | Step 17400/18112 | Loss 0.6387 | Cls 0.6387
11:32:06 | Ep 1 | Step 17600/18112 | Loss 0.6400 | Cls 0.6400
11:33:17 | Ep 1 | Step 17800/18112 | Loss 0.6087 | Cls 0.6087
11:34:28 | Ep 1 | Step 18000/18112 | Loss 0.4911 | Cls 0.4911
11:42:40 |    1 cls_only   0.6695  0.6245   0.5261  0.7658  0.8643     *
11:42:47 |   Saved: ./runs/intern_exp2\checkpoints\ep001.pth
11:42:52 |   Saved: ./runs/intern_exp2\checkpoints\best.pth
12:10:47 | Ep 2 | Step 0/18112 | Loss 0.7499 | Cls 0.7499
12:11:56 | Ep 2 | Step 200/18112 | Loss 0.5287 | Cls 0.5287
12:13:07 | Ep 2 | Step 400/18112 | Loss 0.7258 | Cls 0.7258
12:14:18 | Ep 2 | Step 600/18112 | Loss 0.4325 | Cls 0.4325
12:15:28 | Ep 2 | Step 800/18112 | Loss 0.6502 | Cls 0.6502
12:16:39 | Ep 2 | Step 1000/18112 | Loss 0.5975 | Cls 0.5975
12:17:50 | Ep 2 | Step 1200/18112 | Loss 0.5287 | Cls 0.5287
12:19:01 | Ep 2 | Step 1400/18112 | Loss 0.5732 | Cls 0.5732
